name,star,time
熔炉,"主演：孔刘,郑有美,金智英",上映时间：2011-09-22(韩国)
西西里的美丽传说,"主演：莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",上映时间：2000-10-26(意大利)
让子弹飞,"主演：姜文,周润发,葛优",上映时间：2010-12-16
本杰明·巴顿奇事,"主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",上映时间：2008-12-25(美国)
搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",上映时间：1999-09-10(意大利)
超脱,"主演：艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",上映时间：2011-04-25(美国)
釜山行,"主演：孔刘,郑有美,马东锡",上映时间：2016-05-13(法国)
一一,"主演：吴念真,金燕玲,李凯莉",上映时间：2017-07-28(中国台湾)
飞屋环游记,"主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",上映时间：2009-08-04
天使爱美丽,"主演：奥黛丽·塔图,马修·卡索维茨,吕菲斯",上映时间：2001-04-25(比利时)
